#t / s	s_1	s_2
0.000	776	3298
0.100	822	3352
0.200	865	3402
0.300	900	3442
0.400	924	3466
0.500	932	3474
0.600	922	3462
0.700	897	3432
0.800	860	3388
0.900	814	3336
1.000	768	3284
1.100	726	3238
1.200	694	3204
1.300	675	3187
1.400	673	3189
1.500	688	3210
1.600	717	3246
1.700	758	3294
1.800	805	3344
1.900	852	3394
2.000	892	3434
2.100	922	3460
2.200	936	3468
2.300	932	3460
2.400	911	3432
2.500	876	3392
2.600	830	3344
2.700	782	3293
2.800	736	3248
2.900	698	3214
3.000	673	3194
3.100	666	3194
3.200	676	3210
3.300	703	3242
3.400	743	3286
3.500	792	3334
3.600	842	3382
3.700	887	3422
3.800	922	3450
3.900	940	3462
4.000	941	3456
4.100	923	3434
4.200	889	3398
4.300	843	3354
4.400	792	3306
4.500	741	3262
4.600	699	3226
4.700	670	3204
4.800	659	3199
4.900	666	3210
5.000	692	3238
5.100	732	3276
5.200	782	3320
5.300	836	3366
5.400	884	3408
5.500	922	3438
5.600	944	3454
5.700	948	3454
5.800	930	3438
5.900	897	3408
6.000	851	3368
6.100	798	3322
6.200	744	3277
6.300	700	3240
6.400	668	3213
6.500	654	3202
6.600	660	3207
6.700	686	3228
6.800	726	3262
6.900	776	3304
7.000	830	3348
7.100	880	3392
7.200	920	3426
7.300	944	3448
7.400	948	3454
7.500	933	3444
7.600	900	3420
7.700	854	3382
7.800	802	3338
7.900	748	3292
8.000	702	3251
8.100	670	3220
8.200	656	3202
8.300	660	3202
8.400	684	3217
8.500	722	3247
8.600	772	3288
8.700	825	3334
8.800	874	3380
8.900	914	3418
9.000	940	3446
9.100	946	3458
9.200	932	3454
9.300	902	3432
9.400	858	3398
9.500	807	3354
9.600	756	3306
9.700	710	3260
9.800	678	3224
9.900	662	3201
10.000	664	3194
10.100	685	3206
10.200	720	3234
10.300	766	3274
10.400	816	3320
10.500	865	3370
10.600	904	3414
10.700	930	3446
10.800	938	3464
10.900	929	3462
11.000	902	3444
11.100	863	3410
11.200	816	3366
11.300	767	3316
11.400	723	3266
11.500	690	3226
11.600	672	3198
11.700	670	3188
11.800	686	3196
11.900	716	3222
12.000	758	3262
12.100	805	3312
12.200	851	3364
12.300	890	3410
12.400	918	3446
12.500	930	3468
12.600	926	3470
12.700	905	3452
12.800	870	3419
12.900	828	3374
13.000	782	3322
13.100	738	3270
13.200	703	3227
13.300	682	3197
13.400	675	3184
13.500	685	3190
13.600	710	3216
13.700	746	3256
13.800	790	3306
13.900	834	3358
14.000	875	3407
14.100	906	3446
14.200	924	3468
14.300	926	3472
14.400	910	3456
14.500	882	3424
14.600	843	3380
14.700	798	3328
14.800	755	3276
14.900	717	3230
15.000	690	3199
15.100	678	3184
15.200	681	3190
15.300	700	3213
15.400	732	3252
15.500	773	3300
15.600	818	3352
15.700	860	3402
15.800	896	3440
15.900	920	3464
16.000	928	3470
16.100	920	3458
16.200	896	3426
16.300	860	3384
16.400	816	3334
16.500	770	3282
16.600	728	3238
16.700	696	3206
16.800	678	3190
16.900	675	3192
17.000	688	3213
17.100	717	3248
17.200	757	3294
17.300	802	3345
17.400	849	3392
17.500	890	3432
17.600	918	3456
17.700	932	3466
17.800	929	3456
17.900	908	3428
18.000	874	3389
18.100	830	3342
18.200	782	3292
18.300	736	3248
18.400	699	3216
18.500	676	3198
18.600	668	3196
18.700	678	3213
18.800	704	3244
18.900	744	3286
19.000	792	3334
19.100	840	3380
19.200	886	3420
19.300	919	3448
19.400	937	3458
19.500	937	3454
19.600	919	3432
19.700	886	3396
19.800	840	3352
19.900	790	3306
20.000	742	3262
20.100	701	3228
20.200	673	3206
20.300	662	3200
20.400	670	3212
20.500	695	3238
20.600	735	3276
20.700	784	3320
20.800	835	3366
20.900	882	3406
