#t / s	s_1	s_2	s_3	s_4	s_5	s_6	s_7	s_8	s_9	s_10
0.000	732	3318	846	3382	769	3267	720	3224	848	3384
0.100	838	3314	818	3342			710	3223	880	3406
0.200	940	3310					710	3234	902	3418
0.300	1018	3312					724	3259	912	3418
0.400	1066	3320					748	3292	906	3406
0.500	1076	3332					780	3330	886	3384
0.600	1046	3346					814	3366	855	3356
0.700	978	3362					848	3398	817	3323
0.800	890	3376					876	3420	776	3292
0.900	787	3382					896	3428	739	3266
1.000	686	3382					902	3424	710	3247
1.100	607	3372					896	3408	694	3239
1.200	556	3350					876	3380	692	3242
1.300	540	3322					848	3346	704	3256
1.400	564	3292					812	3310	731	3280
1.500	622	3262					775	3278	767	3308
1.600	705	3238					741	3251	808	3340
1.700	802	3228					715	3235	848	3370
1.800	898	3232					700	3231	883	3394
1.900	976	3251					700	3240	906	3408
2.000	1030	3284					712	3260	916	3414
2.100	1048	3328					736	3288	910	3408
2.200	1032	3374					771	3322	890	3392
2.300	982	3416							857	3368
2.400	908	3448							818	3338
2.500	820	3463							776	3308
2.600	732	3458							738	3279
2.700	658	3434							708	3256
2.800	604	3392							692	3244
2.900	582	3337							690	3240
3.000	593	3278							704	3249
3.100	632	3222							730	3268
3.200	696	3178							767	3294
3.300	773	3156							808	3324
3.400	851	3158							849	3356
3.500	920	3187							883	3384
3.600	970	3238							906	3404
3.700	993	3304							915	3416
3.800	988	3376							908	3416
3.900	958	3444							888	3404
4.000	906	3496							856	3382
4.100	842	3524							817	3354
4.200	776	3524							776	3322
4.300	716	3496							740	3290
4.400	672	3440							711	3262
4.500	650	3367							696	3243
4.600	650	3286							694	3234
4.700	672	3207							707	3238
4.800	711	3144							733	3254
4.900	760	3107							768	3278
5.000	813	3102							807	3310
5.100	861	3130							846	3345
5.200	897	3188							878	3378
5.300	918	3268							900	3404
5.400	920	3358							908	3420
5.500	906	3444							902	3424
5.600	878	3516							884	3416
5.700	843	3560							854	3396
5.800	806	3570							818	3366
5.900	772	3544							781	3332
6.000	746	3486							746	3296
6.100	732	3404							720	3264
6.200	728	3310							704	3240
6.300	735	3218							702	3227
6.400	750	3140							712	3228
6.500	770	3088							820	3326
6.600	792	3072							851	3352
6.700	810	3093							886	3386
6.800	825	3148							921	3424
6.900	834	3231							951	3460
7.000	836	3328							972	3491
7.100	834	3424							982	3511
7.200	828	3506							980	3518
7.300	822	3562							965	3510
7.400	817	3584							940	3490
7.500	814	3568							909	3458
7.600	813	3518							875	3420
7.700	814	3440							843	3382
7.800	815	3344							817	3346
7.900	814	3247							800	3319
8.000	810	3161							795	3304
8.100	803	3100							802	3304
8.200	792	3072							819	3319
8.300	779	3082							844	3346
8.400	766	3128							875	3382
8.500	755	3202							908	3422
8.600	750	3294							936	3462
8.700	751	3388							959	3494
8.800	762	3474							972	3515
8.900	780	3536							974	3522
9.000	806	3568							966	3516
9.100	834	3564							946	3494
9.200	862	3526							920	3462
9.300	885	3460							889	3422
9.400	898	3376							858	3382
9.500	897	3286							832	3344
9.600	882	3203							812	3318
9.700	852	3139							802	3302
9.800	814	3104							802	3302
9.900	770	3102							813	3317
10.000	728	3133							834	3344
10.100	694	3191							861	3382
10.200	673	3268							892	3422
10.300	671	3350							922	3462
10.400	689	3426							947	3494
10.500	725	3486							965	3514
10.600	775	3522							973	3522
10.700	832	3530							970	3514
10.800	888	3506								
10.900	935	3460								
11.000	964	3396								
11.100	970	3322							874	3382
11.200	952	3253							844	3346
11.300	911	3196							820	3320
11.400	852	3161							804	3306
11.500	784	3150							798	3306
11.600	715	3166							804	3320
11.700	657	3204							820	3346
11.800	618	3258							846	3382
11.900	606	3318							876	3420
12.000	622	3377							908	3458
12.100	666	3426							938	3488
12.200	732	3458							962	3508
12.300	810	3468							976	3516
12.400	888	3460							978	3509
12.500	958	3434							968	3490
12.600	1004	3394							948	3460
12.700	1024	3346							920	3424
12.800	1010	3300							886	3388
12.900	966	3260							852	3354
13.000	898	3233							823	3328
13.100	814	3220							802	3314
