#Zeit	0 mA	200 mA	400 mA
1.9	5.3977	-23.8683	-32.5075
1.9333	12.6258	-23.8683	-27.4076
1.9667	18.7186	-11.489	-21.541
2	24.9628	-4.9894	-15.0512
2.0333	31.3452	1.804	-9.2356
2.0667	37.0492	8.5752	-2.7481
2.1	42.1534	15.0184	3.2052
2.1333	46.9092	21.5519	9.6121
2.1667	51.059	27.3635	15.5725
2.2	53.9396	33.1929	21.7176
2.2333	56.5601	38.3087	27.1703
2.2667	58.1858	42.7852	32.0535
2.3	58.8049	47.2148	32.0535
2.3333	58.5704	50.7106	36.9606
2.3667	57.9465	53.3103	40.8461
2.4	55.9338	55.561	44.6799
2.4333	53.3103	56.1854	49.4972
2.4667	50.4252	56.5601	49.4972
2.5	46.5824	55.9338	50.7743
2.5333	42.1534	54.9341	51.4108
2.5667	37.0492	52.679	51.4108
2.6	31.5782	50.0796	50.7743
2.6333	25.7693	46.5824	49.1539
2.6667	19.5638	42.7852	47.2395
2.7	13.6005	38.0317	44.6799
2.7333	6.736	33.1929	41.1432
2.7667	6.736	27.9671	37.321
2.8	0	21.9672	33.4399
2.8333	-13.3713	16.3139	28.5746
2.8667	-20.3392	9.9042	23.7329
2.9	-20.3392	3.6044	18.4349
2.9333	-26.5651	-2.7263	13.2665
2.9667	-32.6508	-9.6121	7.7447
3	-38.2902	-15.8192	1.8183
3.0333	-38.2902	-21.8014	-3.6619
3.0667	-48.4064	-27.6067	-9.2356
3.1	-52.2532	-33.2994	-14.9314
3.1333	-55.4915	-38.2902	-19.9037
3.1667	-58.3602	-42.9786	-25.1016
3.2	-59.8863	-47.0454	-29.5115
3.2333	-60.5615	-47.0454	-33.559
3.2667	-60.5615	-50.5055	-37.25
3.3	-59.8863	-55.0882	-40.6013
3.3333	-58.3602	-56.1738	-43.3054
3.3667	-56.1738	-56.1738	-45.339
3.4	-53.3257	-56.5834	-46.6946
3.4333	-49.4512	-56.1738	-47.7263
3.4667	-45.6821	-56.1738	-47.7263
3.5	-40.9623	-53.3257	-47.0454
3.5333	-35.647	-51.1886	-46.017
3.5667	-30.3236	-47.7263	-44.661
3.6	-24.291	-44.326	-44.661
3.6333	-17.8503	-40.2921	-41.9516
3.6667	-11.489	-35.647	-41.9516
3.7	-4.9894	-30.5608	-36.5853
3.7333	1.804	-25.3242	-36.5853
3.7667	8.5752	-19.7468	-28.8724
3.8	15.452	-13.9248	-24.4825
3.8333	21.5519	-7.7447	-14.9314
3.8667	27.7585	-1.804	-14.9314
3.9	33.5663	4.5022	-10.1408
3.9333	39.0075	10.7843	-5.0291
3.9667	44.0504	16.742	0
4	48.1798	22.3801	4.5378
4.0333	51.6913	27.9671	9.5366
4.0667	54.5667	32.9492	14.5829
4.1	56.5601	37.4054	18.7186
4.1333	56.5601	41.5222	23.1395
4.1667	57.5635	45.3165	27.1703
4.2	58.1858	48.1798	30.5792
4.2333	57.5635	50.4252	33.8146
4.2667	53.9396	51.6913	36.4223
4.3	53.9396	52.3219	38.3087
4.3333	51.3402	52.3219	39.9204
4.3667	47.8466	51.6913	40.5526
4.4	44.0504	50.0796	41.1859
4.4333	39.2894	47.8466	41.1859
4.4667	34.1861	45.3165	39.9204
4.5	28.3612	41.5222	38.941
4.5333	22.9638	38.0317	37.0492
4.5667	16.8714	33.5663	34.8085
4.6	10.3449	28.7524	32.1957
4.6333	3.6044	23.3742	28.9677
4.6667	-3.1798	18.1527	25.56
4.7	-10.0607	12.6258	21.7176
4.7333	-16.2602	6.736	17.7276
4.7667	-22.8337	6.736	13.6005
4.8	-28.8724	0.9022	9.0903
4.8333	-34.6057	-5.4403	4.5378
4.8667	-40.2921	-16.8317	0
4.9	-45.339	-16.8317	-4.5739
4.9333	-49.4512	-22.2296	-8.7114
4.9667	-52.9356	-28.0179	-12.926
5	-55.7681	-32.6508	-16.8317
5.0333	-57.9426	-37.25	-16.8317
5.0667	-59.4594	-41.6335	-20.7723
5.1	-59.8863	-44.661	-27.6067
5.1333	-59.4594	-47.7263	-27.6067
5.1667	-58.3602	-49.8208	-30.3236
5.2	-56.5834	-51.1886	-32.6508
5.2333	-54.0085	-52.2532	-34.6057
5.2667	-51.1886	-52.2532	-34.6057
5.3	-47.0454	-51.87	-36.9643
5.3333	-42.6282	-50.5055	-37.6262
5.3667	-37.9167	-48.7685	-37.6262
5.4	-32.6508	-46.017	-36.9643
5.4333	-26.9802	-42.9786	-35.9229
5.4667	-20.7723	-39.6233	-34.6057
5.5	-20.7723	-35.647	-32.6508
5.5333	-14.8135	-30.9638	-30.3236
5.5667	-1.804	-26.5651	-27.6067
5.6	-1.804	-21.2028	-24.9048
5.6333	4.5022	-16.2602	-21.8014
5.6667	17.7276	-10.5915	-18.2892
5.7	17.7276	-4.9894	-14.37
5.7333	23.9625	0.9022	-10.5915
5.7667	29.9667	6.736	-6.8428
5.8	35.7974	12.6258	-2.7263
5.8333	40.5526	17.7276	1.3532
5.8667	45	22.9638	5.4403
5.9	48.8141	27.7585	9.0193
5.9333	52.3219	32.5741	12.7244
5.9667	54.5667	32.5741	16.3139
6	56.5601	36.7808	19.5638
6.0333	57.1837	36.7808	22.5509
6.0667	57.1837	43.1118	24.9628
6.1	56.1854	47.2148	27.5701
6.1333	54.5667	48.4778	29.3578
6.1667	52.0458	48.4778	30.9638
6.2	48.8141	48.8141	31.9581
6.2333	45.3165	48.4778	32.5741
6.2667	41.1859	47.2148	32.5741
6.3	36.4223	47.2148	32.1957
6.3333	31.3452	43.4176	31.5782
6.3667	25.7693	40.8919	30.5792
6.4	19.5638	37.4054	28.9677
6.4333	13.6005	33.5663	26.9657
6.4667	7.2369	29.3578	24.5555
6.5	0.4511	24.7751	22.1355
6.5333	-5.8906	19.9831	19.1423
6.5667	-12.4791	14.9027	19.1423
6.6	-19.3119	9.9042	16.3139
6.6333	-24.9048	4.0536	13.1632
6.6667	-30.9638	-1.3532	13.1632
6.7	-36.9643	-7.2942	6.3402
6.7333	-41.9516	-12.4791	2.7049
6.7667	-46.3639	-17.7097	-0.9022
6.8	-50.5055	-22.8337	-4.5378
6.8333	-53.3257	-27.6067	-7.7447
6.8667	-53.3257	-32.0054	-11.0409
6.9	-56.1738	-36.3045	-14.37
6.9333	-58.7816	-39.6233	-17.2717
6.9667	-58.7816	-42.6282	-19.7468
7	-58.7816	-44.661	-22.2296
7.0333	-58.3602	-46.6946	-24.291
7.0667	-54.6888	-47.7263	-25.9423
7.1	-51.87	-48.4064	-27.6067
7.1333	-51.87	-48.0848	-28.6476
7.1667	-48.4064	-47.7263	-29.2814
7.2	-44.661	-46.017	-29.2814
7.2333	-40.2921	-43.983	-29.2814
7.2667	-35.263	-41.6335	-28.6476
7.3	-29.9192	-38.6598	-28.0179
7.3333	-23.8683	-38.6598	-26.5651
7.3667	-18.2892	-35.263	-24.9048
7.4	-11.9356	-26.9802	-23.2592
7.4333	-5.4403	-22.8337	-20.7723
7.4667	0.9022	-17.7097	-18.7258
7.5	7.684	-12.926	-16.2602
7.5333	14.0362	-7.7447	-13.3713
7.5667	20.1363	-7.7447	-10.0607
7.6	26.3654	-2.2546	-7.2942
7.6333	31.9581	3.1548	-4.0856
7.6667	37.4054	8.5752	-0.9022
7.7	42.1534	13.4957	2.2546
7.7333	46.273	18.5757	4.9503
7.7667	49.4474	23.3742	4.9503
7.8	52.679	27.7585	8.1301
7.8333	54.5667	31.9581	13.6005
7.8667	55.9338	35.1747	16.3139
7.9	56.1854	38.382	18.7186
7.9333	55.9338	40.8919	20.556
7.9667	54.9341	43.1118	20.556
8	52.679	44.3704	21.9672
8.0333	50.0796	45	23.3742
8.0667	46.9092	45	25.3674
8.1	42.7852	44.6835	25.3674
8.1333	38.6598	43.4176	25.3674
8.1667	33.5663	41.5222	25.3674
8.2	28.3612	39.6344	25.3674
8.2333	22.9638	36.7808	24.3701
8.2667	16.8714	33.5663	23.5523
8.3	10.7843	29.7449	22.3801
8.3333	4.5022	25.7693	20.9735
8.3667	-2.2546	21.3886	19.1423
8.4	-2.2546	16.742	16.742
8.4333	-9.1623	12.1886	14.4703
8.4667	-21.2028	7.1805	12.1886
8.5	-27.6067	1.804	9.4623
8.5333	-27.6067	-3.1548	6.736
8.5667	-33.2994	-8.6428	4.0536
8.6	-38.2902	-13.3713	1.3532
8.6333	-43.3054	-18.2892	-1.3532
8.6667	-43.3054	-22.8337	-4.0856
8.7	-51.1886	-26.9802	-6.8428
8.7333	-54.0085	-30.9638	-9.6121
8.7667	-56.1738	-34.6057	-11.9356
8.8	-57.2648	-37.6262	-13.815
8.8333	-57.6804	-40.2921	-16.2602
8.8667	-57.6804	-42.3057	-17.7097
8.9	-56.5834	-43.6521	-19.1602
8.9333	-55.0882	-44.326	-20.7723
8.9667	-52.9356	-44.661	-21.8014
9	-49.8208	-44.661	-22.2296
9.0333	-46.017	-44.326	-22.8337
9.0667	-41.9516	-43.3054	-22.8337
9.1	-37.25	-43.3054	-22.8337
9.1333	-32.2547	-39.9869	-22.8337
9.1667	-26.5651	-37.6262	-22.2296
9.2	-21.2028	-34.6057	-20.1795
9.2333	-15.2551	-30.9638	-20.1795
9.2667	-9.1623	-27.6067	-19.1602
9.3	-2.7049	-23.2592	-15.8192
9.3333	4.0536	-19.1602	-13.815
9.3667	10.3449	-14.8135	-13.815
9.4	16.742	-10.0607	-11.9356
9.4333	22.5509	-4.9894	-9.6121
9.4667	28.3612	0	-9.6121
9.5	34.1861	4.9503	-4.9894
9.5333	39.0075	9.4623	-2.2546
9.5667	43.4176	14.4703	0
9.6	47.2148	18.9967	2.7049
9.6333	50.4252	22.9638	4.9503
9.6667	52.679	26.9657	7.1805
9.7	54.5667	30.7355	9.4623
9.7333	55.1915	33.9365	11.3099
9.7667	55.561	36.4223	13.4957
9.8	55.561	38.6598	14.9027
9.8333	54.5667	40.2626	16.3139
9.8667	51.059	41.2277	17.7276
9.9	47.8466	41.855	18.5757
9.9333	47.8466	41.5222	19.5638
9.9667	44.6835	40.8919	19.9831
10	40.5526	39.6344	19.9831
10.0333	35.7974	37.7581	19.9831
10.0667	35.7974	35.7974	19.5638
10.1	25.7693	32.9492	19.1423
10.1333	19.9831	29.7449	18.1527
10.1667	14.0362	26.3654	17.1682
10.2	8.1301	22.3801	15.8839
10.2333	1.3532	18.1527	14.4703
10.2667	-4.9894	14.0362	12.6258
10.3	-11.489	9.4623	10.7843
10.3333	-17.7097	4.5022	9.0193
10.3667	-23.8683	0	6.736
10.4	-29.2814	0	4.9503
10.4333	-34.992	-4.9894	2.7049
10.4667	-39.6233	-9.6121	0.4511
10.5	-44.661	-18.2892	-1.804
10.5333	-48.0848	-18.2892	-4.0856
10.5667	-51.5688	-22.2296	-5.8906
10.6	-54.0085	-26.3582	-7.7447
10.6333	-55.7681	-29.6872	-9.6121
10.6667	-56.853	-32.6508	-11.489
10.7	-56.853	-35.647	-12.926
10.7333	-56.5834	-37.6262	-14.257
10.7667	-55.0882	-39.6233	-15.2551
10.8	-53.3257	-40.2921	-15.2551
10.8333	-50.5055	-40.9623	-16.2602
10.8667	-47.7263	-40.9623	-17.1363
10.9	-43.6521	-40.6525	-17.1363
10.9333	-39.6233	-39.6233	-17.7097
10.9667	-39.6233	-38.2902	-17.7097
11	-34.6057	-36.3045	-17.7097
11.0333	-23.8683	-33.2994	-17.1363
11.0667	-18.2892	-30.9638	-16.2602
11.1	-12.3808	-27.6067	-15.6949
11.1333	-5.8906	-23.8683	-14.257
11.1667	0.4511	-20.1795	-13.3713
11.2	6.736	-16.2602	-11.9356
11.2333	13.0616	-11.9356	-10.0607
11.2667	19.1423	-7.7447	-8.6428
11.3	19.1423	-3.1548	-6.789
11.3333	24.9628	1.804	-4.9894
11.3667	30.3526	6.2907	-3.1548
11.4	35.7974	10.7843	-0.9022
11.4333	40.2626	10.7843	0.9022
11.4667	40.2626	14.9027	2.7049
11.5	47.8466	22.7906	4.5022
11.5333	50.7106	26.3654	6.2907
11.5667	52.679	29.3578	8.0669
11.6	53.9396	31.9581	9.4623
11.6333	54.5667	34.5544	10.7843
11.6667	53.9396	36.1582	12.1886
11.7	53.3103	37.7581	13.0616
11.7333	51.3402	38.382	14.0362
11.7667	48.8141	38.382	14.9027
11.8	45.9496	38.382	15.3333
11.8333	42.1534	38.382	15.3333
11.8667	38.0317	37.4054	15.7621
11.9	33.5663	34.5544	15.3333
11.9333	28.3612	34.5544	15.3333
11.9667	22.9638	31.9581	14.9027
12	17.3005	29.3578	14.0362
12.0333	11.3099	26.3654	13.0616
12.0667	4.9503	22.9638	12.1886
12.1	-1.3532	19.5638	10.7843
12.1333	-7.7447	15.3333	9.4623
12.1667	-13.9248	11.2225	8.0669
12.2	-19.7468	7.1805	8.0669
12.2333	-25.9423	2.7049	6.2907
12.2667	-31.6075	-1.804	4.9503
12.3	-36.5853	-5.8906	1.3532
12.3333	-41.2759	-10.508	1.3532
12.3667	-45.339	-14.37	0
12.4	-48.7685	-18.2892	-1.804
12.4333	-51.5688	-22.2296	-3.6044
12.4667	-54.0085	-25.3242	-4.9894
12.5	-55.4915	-28.6476	-6.789
12.5333	-56.1738	-31.3633	-8.1943
12.5667	-56.1738	-33.2994	-9.0903
12.6	-55.0882	-35.263	-10.508
12.6333	-53.3257	-36.9643	-11.3988
12.6667	-53.3257	-37.6262	-12.3808
12.7	-51.1886	-37.6262	-12.8244
12.7333	-45.339	-37.6262	-13.3713
12.7667	-45.339	-36.9643	-13.3713
12.8	-41.2759	-35.9229	-13.815
12.8333	-36.9643	-34.3397	-13.815
12.8667	-36.9643	-32.6508	-13.3713
12.9	-26.5651	-30.3236	-12.8244
12.9333	-21.2028	-27.3924	-12.3808
12.9667	-15.3763	-24.291	-11.489
13	-9.6121	-20.7723	-10.9541
13.0333	-3.1798	-17.2717	-9.6121
13.0667	3.1548	-13.3713	-8.6428
13.1	9.4623	-9.6121	-7.2942
13.1333	15.452	-9.6121	-5.8906
13.1667	21.5519	-5.4403	-4.5378
13.2	26.9657	-5.4403	-3.1548
13.2333	32.1957	3.1548	-1.804
13.2667	37.0492	7.1805	0
13.3	41.5222	14.9027	1.3532
13.3333	45.3165	14.9027	2.7049
13.3667	48.4778	18.5757	4.0536
13.4	50.7106	22.3801	5.3977
13.4333	52.679	25.3674	6.736
13.4667	53.5777	28.1507	7.6242
13.5	53.5777	30.3526	8.9495
13.5333	53.3103	32.3349	9.9042
13.5667	51.6913	33.9365	9.9042
13.6	49.7374	34.9194	10.3449
13.6333	47.2148	35.5377	11.2225
13.6667	43.4176	35.5377	12.1886
13.7	39.9204	34.9194	12.1886
13.7333	35.5377	33.9365	12.1886
13.7667	30.9638	32.9492	12.1886
13.8	25.3674	30.7355	11.75
13.8333	20.1363	28.7524	11.6593
13.8667	14.4703	26.1685	11.6593
13.9	8.5752	23.3742	10.3449
13.9333	2.2546	19.9831	9.9042
13.9667	-4.0856	16.742	9.0193
14	-10.508	13.0616	8.0669
14.0333	-10.508	9.0193	6.736
14.0667	-16.2602	4.9503	5.8446
14.1	-28.0179	0.9022	4.5022
14.1333	-33.2994	-2.7049	3.6044
14.1667	-33.2994	-6.8428	2.2546
14.2	-38.2902	-10.9541	0.8952
14.2333	-42.3057	-14.8135	-0.4511
14.2667	-46.3639	-18.1456	-1.804
14.3	-46.3639	-21.2028	-3.1548
14.3333	-51.87	-24.291	-4.5022
14.3667	-54.0085	-26.9802	-5.4403
14.4	-55.0882	-29.2814	-6.3402
14.4333	-55.0882	-31.3633	-7.2369
14.4667	-54.6888	-32.6508	-8.1943
14.5	-54.0085	-32.6508	-9.0903
14.5333	-51.87	-33.9511	-9.5366
14.5667	-49.4512	-34.992	-10.0607
14.6	-46.3639	-34.3397	-10.0607
14.6333	-42.6282	-34.3397	-10.508
14.6667	-38.9559	-33.6901	-10.508
14.7	-33.9511	-32.6508	-10.508
14.7333	-29.2814	-32.6508	-10.0607
14.7667	-23.8683	-29.2814	-9.6121
14.8	-18.2892	-26.9802	-9.0903
14.8333	-12.4791	-24.291	-8.6428
14.8667	-6.8428	-21.2028	-7.7447
14.9	-0.4511	-18.1456	-7.2942
14.9333	5.8446	-14.8135	-7.2942
14.9667	11.75	-10.9541	-6.3402
15	17.7276	-7.2942	-6.3402
15.0333	23.3742	-3.6044	-4.0536
15.0667	28.9677	0.4511	-3.1548
15.1	33.9365	4.0536	-0.9022
15.1333	38.6598	8.0669	-0.9022
15.1667	42.7852	11.75	0.4511
15.2	45.9496	15.3333	1.3532
15.2333	48.8141	18.5757	2.6838
15.2667	50.7106	21.3886	3.6044
15.3	52.3219	24.3701	4.4672
15.3333	52.9508	26.764	5.3977
15.3667	52.9508	28.7524	6.2907
15.4	51.6913	30.3526	7.1805
15.4333	50.0796	31.7236	7.6242
15.4667	47.8466	32.3349	8.0669
15.5	44.6835	32.7087	8.5087
15.5333	41.5222	32.3349	8.9495
15.5667	41.5222	31.9581	9.0193
15.6	37.4054	30.7355	8.9495
15.6333	32.9492	29.7449	9.0193
15.6667	28.3612	27.7585	8.9495
15.7	28.3612	25.7693	8.5087
15.7333	17.3005	23.3742	8.0669
15.7666	11.75	20.4002	7.6242
15.8	5.8446	17.3005	7.1805
15.8333	-0.4511	14.0362	6.736
15.8666	-6.8428	10.7843	5.8446
15.9	-12.926	7.1805	4.9118
15.9333	-18.7258	3.6044	4.022
15.9666	-24.291	-0.4511	3.1302
16	-29.6872	-4.0856	2.237
16.0333	-34.6057	-4.0856	1.3426
16.0666	-39.3226	-7.7447	0.4511
16.1	-43.3054	-10.9541	-0.9022
16.1333	-47.0454	-17.7097	-1.804
16.1666	-49.4512	-17.7097	-2.7049
16.2	-51.87	-20.7723	-3.6044
16.2333	-53.3257	-23.2592	-4.5022
16.2666	-54.0085	-25.9423	-4.9894
16.3	-54.0085	-27.6067	-4.9894
16.3333	-53.3257	-29.2814	-5.8906
16.3666	-52.2532	-30.3236	-6.789
16.4	-50.1326	-31.3633	-7.2369
16.4333	-47.7263	-32.0054	-7.2369
16.4666	-43.983	-32.0054	-7.7447
16.5	-40.2921	-31.3633	-7.7447
16.5333	-36.3045	-30.7247	-7.7447
16.5666	-31.6075	-29.2814	-7.7447
16.6	-26.5651	-28.0179	-7.7447
16.6333	-21.2028	-25.9423	-7.7447
16.6666	-15.8192	-23.6821	-7.2369
16.7	-10.0607	-21.2028	-6.789
16.7333	-4.0856	-18.2892	-6.3402
16.7666	-4.0856	-15.2551	-5.8906
16.8	2.2546	-12.3808	-4.9894
16.8333	14.0362	-9.0903	-4.5022
16.8666	19.9831	-5.4403	-3.6044
16.9	25.3674	-1.804	-2.7049
16.9333	30.3526	1.804	-2.2546
16.9666	35.1747	4.9503	-0.9022
17	35.1747	8.5752	-0.4511
17.0333	39.6344	11.75	0.4476
17.0666	43.4176	14.9027	1.3532
17.1	43.4176	18.1527	2.237
17.1333	48.8141	20.9735	3.1302
17.1666	50.7106	22.9638	3.5763
17.2	51.6913	25.1775	4.5022
17.2333	51.9683	27.1598	4.9118
17.2666	51.3402	28.3612	5.3977
17.3	50.4252	29.3578	5.8446
17.3333	48.4778	29.7449	6.2907
17.3666	45.9496	30.129	6.736
17.4	42.7852	29.7449	6.736
17.4333	39.2894	29.7449	7.1805
17.4666	35.1747	29.1406	7.1805
17.5	30.3526	28.1507	6.736
17.5333	25.3674	24.7751	6.736
17.5666	20.556	24.7751	6.736
17.6	14.9027	22.7906	6.2907
17.6333	9.0193	20.556	5.8446
17.6666	3.1548	17.7276	5.3558
17.7	-3.1548	14.9027	4.9503
17.7333	-9.1623	12.1886	4.022
17.7666	-14.8135	9.0193	3.5763
17.8	-20.7723	5.3977	3.1302
17.8333	-25.9423	2.2546	3.1302
17.8666	-31.6075	-1.3532	2.237
17.9	-36.3045	-4.5378	1.3426
17.9333	-40.2921	-8.1943	0
17.9666	-43.983	-11.0409	0
18	-47.4002	-14.37	-0.9022
18.0333	-49.8208	-17.2717	-1.3532
18.0666	-51.87	-19.7468	-2.2546
18.1	-52.9356	-22.2296	-2.7049
18.1333	-52.9356	-24.291	-3.6044
18.1666	-53.3257	-25.9423	-4.0536
18.2	-52.2532	-27.3924	-4.5022
18.2333	-50.5055	-28.2374	-4.9503
18.2666	-48.4064	-29.0546	-5.4403
18.3	-45.339	-29.2814	-5.4403
18.3333	-41.9516	-29.0546	-5.8906
18.3666	-38.2902	-28.6476	-5.8906
18.4	-38.2902	-27.6067	-5.8906
18.4333	-33.9511	-26.5651	-5.8906
18.4666	-29.2814	-24.9048	-5.8906
18.5	-23.8683	-23.2592	-5.4403
18.5333	-23.8683	-21.2028	-5.4403
18.5666	-12.926	-18.7258	-4.9894
18.6	-7.2942	-18.7258	-4.5378
18.6333	-1.3532	-15.8192	-4.0536
18.6666	4.5022	-10.0607	-3.6044
18.7	10.7843	-7.2942	-3.1548
18.7333	16.3139	-4.0536	-2.7049
18.7666	21.9672	-0.9022	-1.804
18.8	27.3635	2.7049	-1.3532
18.8333	31.9581	2.7049	-0.4511
18.8666	36.7808	5.8446	0
18.9	40.5526	9.0193	0.9022
18.9333	44.0504	9.0193	1.3532
18.9666	46.5824	14.9027	1.7899
19	48.8141	17.1682	2.6838
19.0333	50.7106	19.9831	3.1302
19.0666	51.3402	21.9672	3.6044
19.1	51.059	23.782	4.0536
19.1333	50.0796	25.1775	4.4672
19.1666	48.8141	26.1685	4.4672
19.2	46.5824	27.1598	4.9503
19.2333	44.0504	27.7585	4.9503
19.2666	40.8919	27.7585	4.9118
19.3	36.7808	27.1598	5.3977
19.3333	32.5741	26.764	5.3977
19.3666	28.3612	25.3674	5.3977
19.4	22.9638	23.782	4.9118
19.4333	17.7276	22.3801	4.9118
19.4666	12.1886	20.4002	4.9503
19.5	6.2907	18.1527	4.9503
19.5333	0.4511	15.7621	4.022
19.5666	-5.4403	13.0616	4.022
19.6	-11.489	10.3449	3.5763
19.6333	-17.2717	7.1805	3.1302
19.6666	-22.6552	4.0536	2.6838
19.7	-28.0179	0.9022	1.7899
19.7333	-32.9052	-2.2546	1.3426
19.7666	-37.6262	-5.4403	0.9022
19.8	-37.6262	-8.1943	0.4476
19.8333	-41.6335	-11.0409	0
19.8666	-44.661	-13.815	-0.4511
19.9	-49.8208	-16.2602	-1.3532
19.9333	-49.8208	-18.7258	-1.804
19.9666	-51.5688	-20.7723	-2.2546
20	-52.2532	-22.6552	-2.7049
20.0333	-52.2532	-24.291	-3.1548
20.0666	-51.87	-25.3242	-3.6044
20.1	-50.5055	-25.9423	-3.6044
20.1333	-48.7685	-26.5651	-4.0536
20.1666	-46.3639	-26.9802	-4.0536
20.2	-43.3054	-26.3582	-4.0536
20.2333	-39.6233	-25.9423	-4.5022
20.2666	-35.647	-25.9423	-4.5022
20.3	-31.3633	-24.9048	-4.0536
20.3333	-26.5651	-23.8683	-4.0536
20.3666	-21.2028	-23.8683	-4.0536
20.4	-15.8192	-20.6097	-4.0536
20.4333	-10.508	-18.7258	-3.6044
20.4666	-4.5378	-16.2602	-3.1548
20.5	1.3532	-13.815	-2.7049
20.5333	7.1805	-11.0409	-2.7049
20.5666	13.0616	-8.1943	-2.2546
20.6	18.1527	-5.4403	-1.804
20.6333	23.782	-2.7049	-1.804
20.6666	28.7524	0.4511	-1.3532
20.7	33.5663	3.6044	0
20.7333	37.7581	6.2907	0
20.7666	41.5222	9.4623	0.4511
20.8	44.6835	12.1886	0.9022
20.8333	47.2148	14.4703	1.3426
20.8666	48.8141	16.742	1.7899
20.9	50.0796	18.9967	1.7899
20.9333	50.0796	20.556	2.237
20.9666	50.0796	22.3801	2.7049
21	49.1081	23.3742	3.1302
21.0333	47.2148	24.3701	3.1302
21.0666	45	25.1775	3.5763
21.1	42.1534	25.1775	3.5763
21.1333	38.6598	25.1775	4.022
21.1666	34.5544	24.7751	4.022
21.2	34.5544	23.782	4.022
21.2333	30.3526	22.7906	4.022
21.2666	25.7693	21.3886	4.022
21.3	20.556	19.9831	3.5763
21.3333	20.556	18.1527	3.5763
21.3666	9.9042	15.7621	3.1302
21.4	4.0536	13.4957	3.1302
21.4333	-1.804	11.2225	2.6838
21.4666	-7.7447	8.5087	2.237
21.5	-13.3713	5.3977	2.237
21.5333	-19.1602	2.6838	1.7899
21.5666	-24.291	0	1.3426
21.6	-29.2814	-2.7049	0.8952
21.6333	-34.3397	-5.8906	0.4476
21.6666	-38.2902	-5.8906	0
21.7	-42.3057	-8.6428	0
21.7333	-45.339	-13.3713	-0.4511
21.7666	-47.7263	-15.8192	-0.9022
21.8	-49.8208	-15.8192	-1.3532
21.8333	-51.1886	-17.7097	-1.804
21.8666	-51.5688	-19.7468	-2.2546
21.9	-51.1886	-21.2028	-2.2546
21.9333	-50.5055	-21.2028	-2.7049
21.9666	-49.4512	-23.2592	-2.7049
22	-47.0454	-24.291	-2.7049
22.0333	-44.661	-24.291	-3.1548
22.0666	-40.9623	-24.291	-3.1548
22.1	-37.6262	-24.291	-3.1548
22.1333	-33.2994	-23.6821	-3.1548
22.1666	-28.6476	-22.6552	-3.1548
22.2	-23.8683	-21.2028	-3.1548
22.2333	-18.7258	-19.7468	-3.1548
22.2666	-13.3713	-18.1456	-2.7049
22.3	-7.7447	-16.2602	-2.7049
22.3333	-2.2546	-14.257	-2.2546
22.3666	3.6044	-11.9356	-2.2546
22.4	9.4623	-9.0903	-1.804
22.4333	14.9027	-6.789	-1.804
22.4666	20.556	-4.0536	-1.3532
22.5	25.3674	-1.3532	-0.9022
22.5333	30.3526	1.3532	-0.4511
22.5666	30.3526	4.0536	-0.4511
22.6	34.5544	6.736	0
22.6333	34.5544	9.4623	0.4476
22.6666	42.1534	11.6593	0.4476
22.7	45	14.0362	0.8952
22.7333	45	15.8839	1.3426
22.7666	48.4778	18.1527	1.3426
22.8	49.4474	19.5638	1.7899
22.8333	49.4474	20.9735	2.237
22.8666	48.8141	21.8014	2.237
22.9	47.5448	22.3801	2.237
22.9333	45.6366	22.7906	2.6838
22.9666	43.1118	23.1986	2.6838
23	40.2626	22.7906	2.6838
23.0333	36.4223	22.7906	2.6838
23.0666	32.3349	22.3801	2.6838
23.1	27.7585	21.3886	2.6838
23.1333	22.9638	20.4002	2.6838
23.1666	18.1527	17.7276	2.6838
23.2	12.6258	17.7276	2.6838
23.2333	7.1805	15.7621	2.237
23.2666	1.3532	13.9283	2.237
23.3	-4.5378	11.6593	1.7899
23.3333	-10.0607	9.4623	1.7899
23.3666	-15.8192	6.736	1.3426
23.4	-20.7723	4.0536	1.3426
