#t / s	&J_A11 / ∞C
0.0	22.3
0.2	22.3
0.4	22.4
0.6	22.4
0.8	22.4
1.0	22.4
1.2	22.4
1.4	22.4
1.6	22.4
1.8	22.4
2.0	22.4
2.2	22.4
2.4	22.4
2.6	22.4
2.8	22.4
3.0	22.4
3.2	22.4
3.4	22.4
3.6	22.3
3.8	22.4
4.0	22.4
4.2	22.4
4.4	22.4
4.6	22.4
4.8	22.3
5.0	22.3
5.2	22.3
5.4	22.3
5.6	22.4
5.8	22.5
6.0	22.4
6.2	22.4
6.4	22.4
6.6	22.4
6.8	22.4
7.0	22.6
7.2	22.6
7.4	22.6
7.6	22.6
7.8	22.6
8.0	22.6
8.2	22.6
8.4	22.6
8.6	22.6
8.8	22.6
9.0	22.6
9.2	22.6
9.4	22.6
9.6	22.6
9.8	22.6
10.0	22.6
10.2	22.6
10.4	22.6
10.6	22.6
10.8	22.6
11.0	22.6
11.2	22.6
11.4	22.6
11.6	22.6
11.8	22.6
12.0	22.6
12.2	22.6
12.4	22.6
12.6	22.6
12.8	22.6
13.0	22.6
13.2	22.6
13.4	22.7
13.6	22.7
13.8	22.7
14.0	22.7
14.2	22.7
14.4	22.7
14.6	22.6
14.8	22.6
15.0	22.7
15.2	22.7
15.4	22.7
15.6	22.7
15.8	22.7
16.0	22.8
16.2	22.7
16.4	22.7
16.6	22.7
16.8	22.7
17.0	22.7
17.2	22.7
17.4	22.7
17.6	22.7
17.8	22.7
18.0	22.7
18.2	22.7
18.4	22.7
18.6	22.6
18.8	22.6
19.0	22.6
19.2	22.6
19.4	22.6
19.6	22.6
19.8	22.6
20.0	22.6
20.2	22.6
20.4	22.6
20.6	22.6
20.8	22.6
21.0	22.6
21.2	22.6
21.4	22.6
21.6	22.6
21.8	22.6
22.0	22.6
22.2	22.6
22.4	22.6
22.6	22.6
22.8	22.6
23.0	22.6
23.2	22.6
23.4	22.6
23.6	22.6
23.8	22.6
24.0	22.6
24.2	22.6
24.4	22.6
24.6	22.6
24.8	22.6
25.0	22.6
25.2	22.6
25.4	22.6
25.6	22.6
25.8	22.6
26.0	22.6
26.2	22.6
26.4	22.7
26.6	22.7
26.8	22.7
27.0	22.7
27.2	22.7
27.4	22.7
27.6	22.6
27.8	22.6
28.0	22.6
28.2	22.6
28.4	22.6
28.6	22.6
28.8	22.6
29.0	22.7
29.2	22.7
29.4	22.7
29.6	22.7
29.8	22.7
30.0	22.7
30.2	22.7
30.4	22.7
30.6	22.7
30.8	22.6
31.0	22.7
31.2	22.7
31.4	22.7
31.6	22.7
31.8	22.6
32.0	22.7
32.2	22.6
32.4	22.7
32.6	22.7
32.8	22.6
33.0	22.6
33.2	22.6
33.4	22.6
33.6	22.6
33.8	22.6
34.0	22.6
34.2	22.7
34.4	22.7
34.6	22.7
34.8	22.7
35.0	22.7
35.2	22.7
35.4	22.6
35.6	22.6
35.8	22.6
36.0	22.6
36.2	22.6
36.4	22.6
36.6	22.6
36.8	22.6
37.0	22.6
37.2	22.6
37.4	22.5
37.6	22.6
37.8	22.6
38.0	22.7
38.2	22.7
38.4	22.7
38.6	22.7
38.8	22.7
39.0	22.7
39.2	22.7
39.4	22.7
39.6	22.7
39.8	22.7
40.0	22.7
40.2	22.7
40.4	22.7
40.6	22.6
40.8	22.6
41.0	22.6
41.2	22.6
41.4	22.6
41.6	22.6
41.8	22.6
42.0	22.7
42.2	22.7
42.4	22.7
42.6	22.7
42.8	22.7
43.0	22.7
43.2	22.7
43.4	22.7
43.6	22.7
43.8	22.7
44.0	22.7
44.2	22.7
44.4	22.7
44.6	22.7
44.8	22.7
45.0	22.7
45.2	22.7
45.4	22.7
45.6	22.7
45.8	22.5
46.0	22.6
46.2	22.6
46.4	22.6
46.6	22.5
46.8	22.5
47.0	22.5
47.2	22.6
47.4	22.7
47.6	22.6
47.8	22.6
48.0	22.6
48.2	22.6
48.4	22.6
48.6	22.6
48.8	22.6
49.0	22.6
49.2	22.6
49.4	22.6
49.6	22.6
49.8	22.6
50.0	22.6
50.2	22.6
50.4	22.6
50.6	22.6
50.8	22.6
51.0	22.6
51.2	22.6
51.4	22.6
51.6	22.6
51.8	22.6
52.0	22.6
52.2	22.6
52.4	22.6
52.6	22.6
52.8	22.6
53.0	22.6
53.2	22.6
53.4	22.6
53.6	22.6
53.8	22.6
54.0	22.6
54.2	22.6
54.4	22.6
54.6	22.6
54.8	22.6
55.0	22.5
55.2	22.5
55.4	22.5
55.6	22.5
55.8	22.5
56.0	22.5
56.2	22.5
56.4	22.5
56.6	22.5
56.8	22.5
57.0	22.5
57.2	22.5
57.4	22.5
57.6	22.6
57.8	22.6
58.0	22.6
58.2	22.6
58.4	22.6
58.6	22.6
58.8	22.6
59.0	22.6
59.2	22.6
59.4	22.6
59.6	22.6
