#V_1 / cm≥	p_B1 / hPa
20.2	71
18.5	79
17.0	87
15.3	96
13.8	104
12.2	113
10.8	122
9.2	131
7.7	141
6.0	150
4.5	160
3.0	170
1.5	180
0.0	190
-1.7	201
-3.0	212
-4.7	222
-6.2	234
-7.5	246
-9.0	258
-10.5	272
-11.8	285
-13.1	299
-14.6	313
-15.7	328
-17.2	343
-18.5	358
-19.6	373
-20.9	388
-22.2	404
-23.2	419
-24.5	435
-25.6	451
-26.7	467
-27.7	483
-28.8	499
-29.9	515
-30.8	531
-31.8	547
-32.7	563
-33.6	578
-34.4	594
-35.3	609
-36.1	624
-36.6	639
-37.4	654
-38.1	669
-38.9	683
-39.4	697
-40.0	710
-40.7	724
-41.1	737
-41.7	750
-42.1	762
-42.4	774
-42.8	786
-43.2	797
-43.6	807
-43.7	818
-43.9	827
-44.1	836
-44.3	845
-44.5	853
-44.5	861
-44.5	867
-44.7	873
-44.7	879
-44.5	884
-44.5	888
-44.5	892
-44.1	895
-43.9	897
-43.7	899
-43.6	901
-43.2	901
-43.0	901
-42.4	900
-42.1	898
-41.7	896
-41.1	893
-40.6	889
-40.2	885
-39.4	881
-38.7	876
-38.1	871
-37.4	865
-36.8	859
-36.1	851
-35.3	843
-34.4	834
-33.5	825
-32.7	816
-31.8	806
-30.7	796
-29.7	786
-28.8	776
-27.7	764
-26.7	753
-25.4	741
-24.3	728
-23.2	715
-22.1	702
-20.7	688
-19.6	674
-18.3	661
-17.0	647
-15.7	633
-14.4	618
-13.1	603
-11.6	588
-10.3	573
-9.0	558
-7.5	542
-6.0	527
-4.3	511
-2.8	496
-1.1	480
0.2	465
1.9	449
3.4	433
4.9	417
6.4	402
8.0	386
9.5	371
11.2	355
12.7	338
14.4	322
15.9	305
17.6	288
19.3	271
20.7	254
22.4	237
23.9	220
25.4	203
27.1	187
28.6	171
30.3	155
31.8	141
33.3	126
34.8	112
36.1	99
37.8	86
39.3	73
40.6	60
42.1	49
43.4	38
44.5	28
46.0	19
47.3	10
48.4	2
49.7	-6
50.8	-13
52.0	-19
53.1	-24
54.2	-30
55.1	-34
56.3	-39
57.4	-44
58.3	-48
59.1	-52
60.2	-56
60.8	-59
61.7	-62
62.4	-64
63.2	-67
63.7	-69
64.5	-71
65.0	-74
65.6	-75
66.2	-77
66.7	-78
67.1	-79
67.5	-80
67.9	-81
68.0	-81
68.4	-82
68.6	-82
68.8	-82
69.0	-83
69.2	-83
69.3	-82
69.2	-82
69.3	-82
69.3	-82
69.2	-82
69.0	-82
68.8	-83
68.6	-83
68.4	-84
68.0	-84
67.7	-85
67.3	-85
66.9	-86
66.4	-86
65.8	-85
65.4	-85
64.7	-84
64.1	-83
63.6	-82
62.8	-81
62.1	-79
61.3	-78
60.6	-77
59.6	-75
58.7	-72
57.9	-70
56.8	-68
55.9	-65
55.0	-63
